make,model,price,year,mileage,condition,city,state,country,condition2,vin,make,model,item_ID
Chevrolet,Other Pickups deluxe,22500,1953,13129,Used,Thousand Oaks,California,United States,Used,H53L013466,Chevrolet,Other Pickups,2.22034E+11
Ford,F-150 SVT Raptor Crew Cab Pickup 4-Door,41500,2011,48362,Used,Woodland Hills,California,United States,Used,1FTFW1R66BFB33920,Ford,F-150,1.72117E+11
Ford,Thunderbird Base Convertible 2-Door,24885,2002,8105,Used,Costa Mesa,California,United States,Used,1FAHP60A02Y108509,Ford,Thunderbird,1.31748E+11
 Ford,F-350 Base Crew Cab Pickup 4-Door ,27000,1997,243899,Used,San Diego,California,United States,Used ,Used ,"“Truck has scratches, minor dents, interior is not 100% perfect. Engine runs fabulously but may not be 100% perfect by everyone's standards. Paint is believed to be original and while looks very nice, is over 20 years old, so is interior. Bed has some ware and tear, the area around the back window has some very minor rust marks (see pictures). Window control panel on drivers side door is lose, some of the molding around the seats may be lose, headliner has some wear and tear (see photos), tires have about 13,000 miles on them, steering wheel will make a minor squeak sound every once in a while (googled it and the spring needs to be oiled), sometimes there will be interference with the Bluetooth stereo and for about one second after it starts it will make a noise.Back Windows roll up slower than front windows, Lift Kit Type Size Unknown.”","“Truck has scratches, minor dents, interior is not 100% perfect. Engine runs fabulously but may not be 100% perfect by everyone's standards. Paint is believed to be original and while looks very nice, is over 20 years old, so is interior. Bed has some ware and tear, the area around the back window has some very minor rust marks (see pictures). Window control panel on drivers side door is lose, some of the molding around the seats may be lose, headliner has some wear and tear (see photos), tires have about 13,000 miles on them, steering wheel will make a minor squeak sound every once in a while (googled it and the spring needs to be oiled), sometimes there will be interference with the Bluetooth stereo and for about one second after it starts it will make a noise.Back Windows roll up slower than front windows, Lift Kit Type Size Unknown.”",1.72125E+11
 Chevrolet,Corvette 2-DOOR CONVERTIBLE ,64000,1956,19450,Used,Fresno,California,United States,Used ,Used ,"“Excellent Condition: Rebuilt 265 CI 225 HP Engine & Power Glide Transmission (non-originals but numbers matching); Dual Quads (Cloned Carter Carbs); 9-finned valve covers; Windshield washer bag, hoses, pedal; New wiring; New electronic ignition and spark plug shielding; 904 starter relay; Correct windshield washer motor; Rebuilt numbers-matching heads and exhaust manifold; Original clock; Rebuilt original Wonderbar Radio and Tube-type Amplifier; New Seat Covers; Excellent paint; Top in Good Condition; Door panels in excellent condition; Carpeting in good condition (some fading); New kick panels; Excellent trunk area with new plastic matt; Chrome in excellent shape (some scuff marks on windshield chrome side arms); Excellent Coker wide whites, made from original Firestone moldings; Original hubcaps; Hydraulic lifters were installed for a quiet smooth ride without having to adjust lifters each month; Minor oil/transmission leaks.”","“Excellent Condition: Rebuilt 265 CI 225 HP Engine & Power Glide Transmission (non-originals but numbers matching); Dual Quads (Cloned Carter Carbs); 9-finned valve covers; Windshield washer bag, hoses, pedal; New wiring; New electronic ignition and spark plug shielding; 904 starter relay; Correct windshield washer motor; Rebuilt numbers-matching heads and exhaust manifold; Original clock; Rebuilt original Wonderbar Radio and Tube-type Amplifier; New Seat Covers; Excellent paint; Top in Good Condition; Door panels in excellent condition; Carpeting in good condition (some fading); New kick panels; Excellent trunk area with new plastic matt; Chrome in excellent shape (some scuff marks on windshield chrome side arms); Excellent Coker wide whites, made from original Firestone moldings; Original hubcaps; Hydraulic lifters were installed for a quiet smooth ride without having to adjust lifters each month; Minor oil/transmission leaks.”",2.81957E+11
Chevrolet,Corvette Base Convertible 2-Door,12995,2000,94703,Used,Las Vegas,Nevada,United States,Used ,Used ,“Normal wear and tear.”,“Normal wear and tear.”,1.31742E+11
Chevrolet,Other Pickups 5400,225000,1955,48,New,Riverside,California,United States,New,1955,Allison 5 speed,LCF,3.31796E+11
 Chevrolet,Impala sport coupe ,35000,1960,30615,Used,Colton,California,United States,Used ,Used ,"“Very nice California sport coupe, A full restoration performed in 2010.Cascade Green with Green Hound's-tooth upholstery, 348 Big block single four barrel carburetor, Power glide Transmission and drives incredible. Continental tire package, with Deluxe fender skirts,Factory knock off style hub caps,all chrome and bright work in very nice shape, Dry rust free car and a real cool driver. Paint is nice and scale as a 8 and 10 being the best show quality, upgraded sound system and finished trunk area in a custom sound system, no cutting or body mods or suspension mods, all new shocks and custom coil springs to give her the absolute show look. New tires, brakes are in excellent shape. Buy and Drive her home, cruises at 70 mph very smooth.”","“Very nice California sport coupe, A full restoration performed in 2010.Cascade Green with Green Hound's-tooth upholstery, 348 Big block single four barrel carburetor, Power glide Transmission and drives incredible. Continental tire package, with Deluxe fender skirts,Factory knock off style hub caps,all chrome and bright work in very nice shape, Dry rust free car and a real cool driver. Paint is nice and scale as a 8 and 10 being the best show quality, upgraded sound system and finished trunk area in a custom sound system, no cutting or body mods or suspension mods, all new shocks and custom coil springs to give her the absolute show look. New tires, brakes are in excellent shape. Buy and Drive her home, cruises at 70 mph very smooth.”",3.22032E+11
Jaguar,XJR Base Sedan 4-Door,4800,1999,143700,Used,North Hollywood,California,United States,Used ,Used ,"“This is a very well maintained and cared for care. It has a couple small scratches, the worst is one the rear bumper and edge of driver's mirror. The rear view auto dimming film looks as though it has melted (I'm not really sure what has happened). The top part of the mirror looks clearer, and the lower part is darker. It has been this way for years and has never bothered me. You can still see out of it. Other than that, I would say it has less than normal wear and tear for a vehicle of it's age.”","“This is a very well maintained and cared for care. It has a couple small scratches, the worst is one the rear bumper and edge of driver's mirror. The rear view auto dimming film looks as though it has melted (I'm not really sure what has happened). The top part of the mirror looks clearer, and the lower part is darker. It has been this way for years and has never bothered me. You can still see out of it. Other than that, I would say it has less than normal wear and tear for a vehicle of it's age.”",1.21919E+11
BMW,M3 Base Coupe 2-Door,24485,2005,81434,Certified pre-owned,Costa Mesa,California,United States,Certified pre-owned,WBSBL93465PN62530,BMW,M3,1.31747E+11
Ford,Ford GT 2dr Coupe,489040,2006,1265,Used,Ontario,California,United States,Used,1FAFP90S26Y401786,Ford,Ford GT,1.3175E+11
Chevrolet,Other Pickups deluxe,25500,1951,30883,Used,Thousand Oaks,California,United States,Used,H530015917,Chevrolet,Other Pickups,2.22045E+11
Chevrolet,Camaro RS Coupe 2-Door,1875,1991,179000,Used,Sherwood,Arkansas,United States,Used ,Used ,“were and tear 30 years old 179000 miles on car but nice need a left frount fender maybe 1g1ep23e4ml15312 read about transmission”,“were and tear 30 years old 179000 miles on car but nice need a left frount fender maybe 1g1ep23e4ml15312 read about transmission”,2.0154E+11
Chevrolet,Corvette Base Coupe 2-Door,17900,2009,35346,Used,Sikeston,Missouri,United States,Used,1G1YY26W495101747,Chevrolet,Corvette,3.01891E+11
