"model","price","year","mileage"
"BMW: 3-Series Base Convertible 2-Door","7,700.00","1991","121,027"
"BMW: M3 Base Convertible 2-Door","4,000.00","1998","96,000"
" Chevrolet: Other Pickups K20 ","18,500.00","1971","111,561"
"New listing Chevrolet: Corvette Base Coupe 2-Door","6,200.00","2001","177,795"
"New listing Chevrolet: SS Base Sedan 4-Door","18,998.00","2014","11,850"
"Maserati: Other Base Coupe 2-Door","40,000.00","2008","19,537"
" BMW: M6 Base Sedan 4-Door ","87,900.00","2014","17,318"
"Rolls-Royce: Other Base Coupe 2-Door","257,995.00","2015","2,500"
"Mercedes-Benz: Other 4dr Sedan 40","610.00","1992","220,354"
"Chevrolet: Other Pickups","11,800.00","1953","16"
"Chevrolet: Other Pickups","23,700.00","1955","12,000"
"Jaguar: XJR Base Sedan 4-Door","2,650.00","1998","87,300"
"Pontiac: GTO Base Coupe 2-Door","20,000.00","2006","26,460"
"Chevrolet: Other Pickups","16,500.00","1953","164"
"Chevrolet: Corvette Base Coupe 2-Door","5,100.00","1982","47,261"
"BMW: M3 Base Coupe 2-Door","49,999.00","2013","15,135"
"New listing Mercedes-Benz: S-Class Base Sedan 4-Door","99.00","2001","185,450"
"BMW: M4 2dr Convertible","50,100.00","2015","3,972"
"New listing Chevrolet: Corvette 2dr Z06 Hard","18,750.00","2001","41,651"
" Ford: Mustang Mustang ","21,995.00","1966","0"
"Ford: Model A 4 door","15,600.00","1930","1,020"
"Chevrolet: Other Pickups","12,100.00","1955","0"
"Plymouth: Other Base 4 Door Sedan","1,500.00","1956","81,663"
"Ford: Other","4,150.00","1948","59"
"New listing Oldsmobile: Other 4-door","16,000.00","1940","71,055"
"Toyota: Tacoma X-Runner","10,450.00","2006","94,634"
"New listing BMW: M3 Base Coupe 2-Door","35,000.00","2008","63,793"
"Mercedes-Benz: C-Class sedan 4 door","12,105.00","2009","27,712"
"Honda: Z600 2 Door Coupe","2,749.99","1972","81,000"
"Chevrolet: Other Pickups Big Window","21,500.00","1955","1,500"
"Ford: Other 2 Door Coupe","305.00","1950","1"
"Chevrolet: Other DELUXE","12,700.00","1949","54,725"
"Chevrolet: Corvette CONVERTIBLE","45,500.00","1963","108,000"
"Chevrolet: Corvette Grand Sport","32,000.00","2010","73,680"
"New listing Ford: Ford GT 2dr Coupe","489,040.00","2006","618"
"New listing Ford: Mustang FASTBACK GT PONY","32,600.00","1966","2,200"
"Chevrolet: Corvette ZR1","12,600.00","1992","85,555"
"Ford: Mustang California Hot Rod","9,999.00","1986","74,290"
"Ford: F-250 XLT","23,900.00","2004","45,453"
"Pontiac: Fiero 2-Dr Coupe","1,000.00","1988","112,654"
"Chevrolet: Other Pickups 3100","3,400.00","1958","0"
"Audi: S5 Base Coupe 2-Door","26,500.00","2009","25,000"
"Mercedes-Benz: 200-Series 4 Door","4,050.00","1956","81,000"
"Ford: Mustang","27,500.00","2015","9,500"
"New listing Mercedes-Benz: C-Class C250","3,190.00","2014","13,742"
"Buick: Riviera Base Hardtop 2-Door","10,100.00","1963","93,156"
"New listing  Audi: RS 5 Coupe Quattro S Tronic Base Coupe 2-Door ","45,900.00","2014","28,139"
"Ford: F-350 XL Cab & Chassis 2-Door","5,800.00","2006","120,243"
"Bentley: Other Base Sedan 4-Door","129,888.00","2011","45,108"
"Chevrolet: Styleline Series 1 2 Door Coupe","19,900.00","1951","81,200"
"New listing Porsche: 911 Carrera 4S Coupe 2-Door","24,000.00","2003","98,000"
