"model","price","year","mileage"
"BMW: 5-Series Base Sedan 4-Door","39,000.00","2011","50,300"
"New listing Ford: Mustang","2,000.00","2000","130,000"
"Chevrolet: Other Base","40,000.00","2014","10,711"
"Lincoln: Navigator 4dr 4WD","1,009.99","2000","191,945"
"Cadillac: Escalade Base Sport Utility 4-Door","10,109.00","2007","82,000"
"Ford: Expedition Limited Sport Utility 4-Door","31,400.00","2012","29,113"
"Mercedes-Benz: G-Class Base Sport Utility 4-Door","38,500.00","2003","106,300"
"Lexus: ES Base Sedan 4-Door","14,998.00","2009","85,167"
"Chevrolet: Corvette Convertible","30,100.00","2015","2,996"
"Mercedes-Benz: SLR McLaren Base Coupe 2-Door","500,000.00","2007","1,032"
" Ford: F-150 PLATINUM CREW ECOBOOST FX4 4X4 NAV ","35,100.00","2015","13,912"
"Ford: F-350 Crew Cab 172","7,100.00","2006","117,604"
"Lincoln: MKX FWD 4dr","5,000.00","2011","28,781"
"New listing Audi: A4 Cabriolet Convertible 2-Door","5,500.00","2005","100,869"
" Chevrolet: Corvette ZR1 ","26,250.00","1991","67,891"
"Chevrolet: Corvette T TOP","6,995.00","1981","114,000"
"Land Rover: LR2 Base Sport Utility 4-Door","6,800.00","2015","10,276"
"Porsche: 911 2dr Coupe S Turbo","134,800.00","2014","14,182"
"Pontiac: Le Mans 2 door coupe convertible","8,600.00","1968","93,930"
"Chevrolet: Camaro Coupe","45,900.00","1968","1,534"
"New listing Ford: Crown Victoria 2 DOOR","25,000.00","1955","100,000"
"New listing Chevrolet: C10","1,000.00","1967","1,500"
"Jaguar: XK Base Coupe 2-Door","48,700.00","2015","488"
"Mercedes-Benz: G-Class G550 4MATIC","48,200.00","2010","50,198"
"Toyota: Land Cruiser Base Sport Utility 2-Door","12,100.00","1983","220,000"
" Plymouth: Satellite 2 Door ","15,100.00","1965","5,000"
"Ford: F-250 XLT","23,850.00","2002","175,000"
"Chevrolet: Other Pickup","14,999.00","1936","14,850"
"Ford: F-150 Lariat","999.00","2013","27,281"
"Toyota: FJ Cruiser Base Sport Utility 4-Door","15,100.00","2012","41,145"
"New listing Chevrolet: Other","1,200.00","1975","0"
"Lincoln: LS Base Sedan 4-Door","3,900.00","2003","98,000"
"New listing Ford: F-150 SVT Lightning","17,991.00","1999","66,841"
"Ford: F-150 XLT Texas Edition Crew Cab 2WD","33,793.00","2016","5"
"Chevrolet: Cruze 4dr Sedan Automatic 2LT","16,988.00","2014","21,350"
"Chevrolet: Camaro 2dr Coupe SS w/1SS","6,769.69","2016","0"
"Ford: Model A 4 door","18,000.00","1930","38,600"
"Ford: Mustang GT Premium","19,995.00","2007","5,924"
"Chevrolet: Camaro 2LT RS Coupe 2-Door","34,500.00","2014","6,200"
"Ford: Mustang Shelby Cobra GT500","35,900.00","2007","7,442"
"Chevrolet: Corvette 50th","14,200.00","2003","76,000"
"Maserati: Gran Turismo Base Coupe 2-Door","47,750.00","2008","18,375"
" Pontiac: Trans Am 2 door coupe ","30,100.00","1973","78,500"
"New listing  Ford: F-250 PLATINUM CREW 4X4 DIESEL LONGBED NAV ","56,980.00","2015","2,664"
"Toyota: RAV4 Base Sport Utility 4-Door","8,999.00","2010","58,900"
"Ford: Mustang Custom","35,000.00","1970","46,000"
" Ford: Mustang GT PREMIUM 6SPEED 5.0 LEATHER NAV ","13,310.00","2013","41,436"
"Chevrolet: Tahoe 1500 2dr 4WD","9,988.00","1998","164,609"
"Chevrolet: Corvette","5,000.00","1982","72,736"
"Ford: F-250 King Ranch","59,841.00","2015","8"
" Ford: Other Hauler/Rollback ","44,995.00","1940","6,000"
"Chevrolet: Corvette Z06","23,799.00","2002","38,458"
"New listing Chevrolet: Corvette","6.50","1966","91,000"
"Ford: Mustang","6,500.00","1967","64,721"
"BMW: M3 Base Convertible 2-Door","18,900.00","2001","60,286"
"New listing Chevrolet: Corvette 1LT, C7","1,000.00","2016","10"
"Chevrolet: Other Pickups 3100","21,000.00","1951","1,999"
"Ford: Other","29,500.00","1932","999,999"
"Ford: Mustang","6,800.00","1988","0"
"Chevrolet: Other Pickups 3100","6,500.00","1950","5,842"
"Lotus: Elise Base Convertible 2-Door","48,950.00","2006","5,915"
"BMW: 7-Series 4dr Sedan","19,900.00","2007","80,911"
" Chevrolet: Corvette Z06 ","82,569.61","2016","9"
"Ford: Mustang Coupe","15,901.00","1966","4,000"
"Hyundai: Tiburon FX Coupe 2-Door","8,600.00","2008","77,000"
"Toyota: Camry LE Sedan 4-Door","6,100.00","2010","73,400"
"Audi: S8 Base Sedan 4-Door","94,816.00","2015","3,375"
"Mercedes-Benz: C-Class Base Sedan 4-Door","232.50","1995","219,636"
"Audi: S8 Base Sedan 4-Door","90,983.00","2015","8,605"
" Chevrolet: Chevelle SS ","25,100.00","1970","286"
"Ford: Model A Base","7,600.00","1929","500"
"Ford: F-150 ROUSH RAPTOR","50,000.00","2014","21,898"
"Other Makes: EXCURSION bLACK","10,000.00","2003","153,000"
"Mercedes-Benz: 400-Series Base Sedan 4-Door","4,500.00","1987","133,400"
" Chevrolet: Other Pickups ","5,000.00","1937","500"
"Bentley: Continental GT 2dr Convertible","135,800.00","2012","17,174"
"Chevrolet: Corvette 2dr Stingray Coupe w/1LT","1,000.00","2016","0"
"Toyota: Tacoma SR5","39,999.99","2015","20"
"Chevrolet: Tahoe LT Sport Utility 2-Door","8,500.00","1996","103,000"
"Ford: F-100","19,500.00","1971","87,000"
"New listing Chevrolet: Camaro SUPER SPORT","25,100.00","1969","39,981"
"Chevrolet: Corvette FRAME OFF BIG BRAKE FUELIE","149,000.00","1962","10"
"Mercedes-Benz: Other 4dr Sedan 19","6,500.00","1986","20,963"
"Chevrolet: Other","610.00","2000","185,000"
"New listing Mercedes-Benz: S-Class","32,900.00","2009","54,000"
" Ford: Ford GT 2dr Cpe ","395,000.00","2005","20"
"Ford: Mustang GT Convertible","38,995.00","1965","92,100"
" Ford: Other ","11,200.00","1939","53,820"
"Mercedes-Benz: CLS-Class Desgino","69,999.00","2015","5,200"
"Dodge: Viper GTS Coupe 2-Door","45,000.00","1996","6,200"
"Ford: F-250 XL","2,950.00","2008","131,900"
"New listing Chevrolet: Corvette ZR-1","2,125.00","1994","8,736"
"McLaren: MP4-12C","159,888.00","2012","5,238"
"Mercedes-Benz: C-Class","6,750.00","2004","102,527"
"Porsche: Boxster Base Convertible 2-Door","10,000.00","2015","4"
"Chevrolet: Other Deluxe","7,501.00","1935","44,590"
"Dodge: Viper 2 Door","15,300.00","1996","9,400"
"Maserati: Quattroporte Base Sedan 4-Door","35,750.00","2009","42,625"
"Toyota: Tacoma Pre Runner Crew Cab Pickup 4-Door","4,250.00","2001","250,000"
"Rolls-Royce: Other Drophead Coupe Convertible 2-Door","219,990.00","2010","11,349"
" Chevrolet: Silverado 1500 LT Extended Cab Pickup 4-Door ","7,600.00","2014","10,600"
"BMW: 6-Series 640i Gran Coupe","10,100.00","2013","26,176"
"Ford: F-150 SVT Raptor","32,995.00","2010","73,212"
"Porsche: Boxster Base Convertible 2-Door","10,000.00","2015","4"
"Chevrolet: Other Deluxe","7,501.00","1935","44,590"
"Chevrolet: Corvette 2 LT Z51 COUPE SHARK GRAY","47,900.00","2016","4"
"Toyota: Tacoma Pre Runner Crew Cab Pickup 4-Door","4,250.00","2001","250,000"
"New listing  Ford: F-150 LARIAT 2WD ","14,495.00","2007","129,950"
"BMW: 6-Series 640i Gran Coupe","10,100.00","2013","26,176"
"Rolls-Royce: Other Drophead Coupe Convertible 2-Door","219,990.00","2010","11,349"
" Chevrolet: Silverado 1500 LT Extended Cab Pickup 4-Door ","7,600.00","2014","10,600"
" Chevrolet: Corvette 3LT Z16 ","53,989.00","2013","1,247"
"Ford: Model A 4 door","18,000.00","1930","38,600"
"Ford: Mustang GT Premium","19,995.00","2007","5,924"
"Chevrolet: Corvette CONVERTIBLE","8,995.00","1989","73,000"
"Chevrolet: Other","59,900.00","1952","240"
"Ford: Mustang Shelby Cobra GT500","35,900.00","2007","7,442"
"Chevrolet: Corvette 2dr Z06 Coupe w/3LZ","1,000.00","2016","0"
"Chevrolet: Corvette 2LT","69,550.00","2016","0"
"New listing Jaguar: XK8 Base Convertible 2-Door","8,500.00","1999","91,644"
"Chevrolet: Corvette 40th Anniversary","5,000.00","1993","98,000"
"Lexus: IS Base Sedan 4-Door","18,499.00","2008","83,000"
"Chevrolet: Silverado 1500 4WD Crew Cab","20,100.00","2013","34,127"
"Chevrolet: Corvette Corvette Z06","65,101.00","2016","5"
"Chevrolet: Camaro ZL1","33,433.00","2013","3,513"
"Ford: Mustang Custom","35,000.00","1970","46,000"
" Ford: Mustang GT PREMIUM 6SPEED 5.0 LEATHER NAV ","13,310.00","2013","41,436"
"Chevrolet: Other","35,201.01","1937","200"
"Ford: F-150 STX","15,749.00","2010","59,696"
"Chevrolet: Other Pickups cameo carrier","35,000.00","1957","500"
"Pontiac: GTO Base Coupe 2-Door","13,995.00","2004","49,000"
"Ford: F-150 Raptor","70,000.00","2012","14,600"
" Chevrolet: Corvette Z06 ","200.00","2003","73,400"
"Ford: Other LTD","820.00","1980","49,000"
"Ford: Mustang","6,500.00","1967","64,721"
" Chevrolet: Corvette Z06 ","104,255.25","2016","9"
"Ford: F-150 Platinum Crew Cab 4x4","38,800.00","2013","31,604"
"New listing Ford: F-100 XLT","1,995.00","1978","68,313"
"Chevrolet: Corvette Grand Sport","18,100.00","2013","15,000"
"Ford: Mustang","6,800.00","1988","0"
"New listing  Ford: F-150 SVT RAPTOR SUPERCAB 4X4 6.2L SUNROOF NAV ","1.00","2010","62,960"
"Porsche: 911 Carrera 4S Coupe 2-Door","49,900.00","2006","21,400"
"Ford: Mustang LX","8,600.00","1990","57,000"
"New listing Mercedes-Benz: SLK-Class Base Convertible 2-Door","12,970.00","2001","57,128"
" Nissan: 300ZX Turbo Coupe 2-Door ","18,950.00","1990","168,655"
"Ford: Mustang Coupe","15,901.00","1966","4,000"
"New listing  Chevrolet: Corvette Z16 3LT ","46,989.00","2011","28,857"
"Chevrolet: C-10","1,025.00","1962","0"
" Chevrolet: S-10 Sport ","500.00","1984","135,000"
"Ford: Other DELUXE CONV.","16,100.00","1941","1"
"Chevrolet: Corvette 1LT","48,887.00","2014","8,300"
"Jaguar: XKR Base Convertible 2-Door","37,600.00","2010","41,100"
"Ford: F-150 SUPERCREW","29,900.00","2010","58,514"
"Chevrolet: Silverado 1500 WT Extended Cab Pickup 4-Door","4,945.00","2007","103,877"
"Ford: Model A Base","7,600.00","1929","500"
"Chevrolet: Tracker Base","2,200.00","2000","128,000"
"Chevrolet: Camaro 2dr Coupe SS w/1SS","1,000.00","2016","0"
"New listing Chevrolet: Other Pickups Cheyenne","79,900.00","1971","374"
"Ford: F-250 Extended Cab","16,500.00","2012","62,246"
"Ford: F-150 Platinum","20,991.00","2009","99,528"
"Volkswagen: Eos Komfort Convertible 2-Door","3,550.00","2008","104,000"
"Toyota: Land Cruiser Base Sport Utility 4-Door","4,500.00","1994","285,000"
"New listing  Ford: F-150 LARIAT 4X4 ","13,995.00","2007","134,950"
"Toyota: Tacoma Base Crew Cab Pickup 4-Door","6,100.00","2006","178,986"
"BMW: 4 Series 428i","53,430.00","2016","0"
"Porsche: 911 2dr Coupe GT3","149,000.00","2014","3,555"
"Honda: Prelude 2.0 Si 4WS Coupe 2-Door","1,295.00","1988","198,912"
"Ford: Mustang GT Convertible","38,995.00","1965","92,100"
"Nissan: 350Z Touring 2dr coupe","11,500.00","2008","105,050"
" Chevrolet: Corvette 1LT ","59,546.55","2016","6"
"New listing  Chevrolet: Camaro 2SS 1LE RS 6-SPD RECARO SEATS NAV ","51.00","2014","20,226"
"New listing Toyota: 4Runner SR5 Turbo","8,800.00","1986","168,000"
"Jaguar: XJ Base Sedan 4-Door","100.00","1996","150,000"
"Chevrolet: Corvette 1961 Corvette Project","12,600.00","1961","0"
"New listing GMC: Yukon 4dr 1500 4WD","560.00","2003","219,001"
" Ford: F-150 XLT V8 4X4 ","17,994.00","2008","94,171"
"New listing Chevrolet: Corvette 2dr Z06 Coupe w/2LZ","107,445.00","2016","0"
" Toyota: 4Runner SR5 Sport Utility 4-Door ","7,100.00","2015","6,514"
"Ford: F-150 lariat","8,300.00","2005","115,000"
"New listing Oldsmobile: Other 4door","10,000.00","1930","60"
" Subaru: Impreza Sport Premium Wagon 4-Door ","12,095.00","2012","24,596"
" Chevrolet: Corvette ","14,400.00","1963","60,000"
"Ford: F-150 FX4 Crew Cab Pickup 4-Door","19,500.00","2008","105,000"
"Chevrolet: Camaro 2001 Chevrolet Camaro Z28 Hatchback","8,988.00","2001","136,005"
"Land Rover: Other Base","19,995.00","1967"," "
"New listing Chevrolet: Corvette Convertible","62,000.00","1965","11,829"
" BMW: 7-Series Sedan 4-Door ","6,200.00","2001","145,000"
"Chevrolet: C-10 BIG BLOCK","3,383.00","1976","79,700"
"Cadillac: Fleetwood Brougham Sedan 4-Door","9,850.00","1996","62,086"
" Ford: Mustang GT PREMIUM 5.0 6-SPEED LEATHER NAV ","21,100.00","2015","5,029"
"New listing Chevrolet: Camaro Base Model","15,000.00","2010","42,855"
"Chevrolet: Impala 4dr Sedan LTZ w/2LZ","41,214.00","2016","0"
"Mitsubishi: Outlander 4dr LS Auto","710.00","2005","140,207"
"New listing Nissan: Pathfinder 2WD 4dr SL","5,000.00","2014","27,566"
"Chevrolet: Corvette 2dr Stingray Coupe w/1LT","1,000.00","2016","0"
"Ford: Other Pickups LIGHTNING SVT","19,500.00","1993","33,820"
"Ford: F-100 f100","2,700.00","1968","0"
"Ford: Other Pickups","3,200.00","1949","36,000"
"Land Rover: LR2 Base Sport Utility 4-Door","3,050.00","2015","8,482"
"New listing Chevrolet: Corvette Base Convertible 2-Door","14,100.00","1999","37,100"
"Mercedes-Benz: CL-Class 2 Door Coupe with Sport Package","8,000.00","2002","51,175"
" Lexus: GS F Sport Sedan 4-Door ","41,999.00","2014","7,728"
"Chevrolet: Camaro 2dr Coupe SS w/2SS","1,000.00","2016","0"
"Volkswagen: Jetta Base Sedan 4-Door","2,000.00","1985","174,481"
"Mazda: Millenia Base Sedan 4-Door","2,945.00","2002","99,713"
"Other Makes: ZAGATO SPYDER","3,550.00","1980","0"
"Ford: F-150 SuperCrew 13","3,800.00","2003","122,119"
"Isuzu: VehiCROSS Base Sport Utility 2-Door","3,900.00","2001","197,375"
"Ford: F-150 LARIAT","24,975.00","2010","78,069"
"Ford: Mustang","89,500.00","2012","10"
"New listing Chevrolet: Cruze LT Sedan 4-Door","7,500.00","2015","1,500"
"Toyota: Other SR5","3,600.00","1981","125,236"
"Bentley: Continental GT 2dr Coupe","72,500.00","2006","72,292"
"Chevrolet: Camaro Z28 SS Convertible 2-Door","12,500.00","2000","74,500"
"Nissan: 300ZX Turbo Coupe 2-Door","11,000.00","1996","124,000"
"New listing Chevrolet: Corvette 2dr Z06 Coupe w/3LZ","1,000.00","2016","0"
"Chevrolet: Camaro T-Top Z28 Coupe","12,000.00","1996","19,948"
"New listing Jaguar: XJS Base Convertible 2-Door","28,900.00","1990","11,638"
"Chrysler: 300 Series C Sedan 4-Door","6,300.00","2006","76,236"
"Ford: Model A Tudor Sedan","2,804.00","1929","1"
"Chevrolet: Camaro 2dr Coupe SS w/2SS","1,000.00","2016","0"
"Chevrolet: Corvette","12,400.00","1959","58,076"
"Jeep: Wagoneer Base Sport Utility 2-Door","2,800.00","1988","155,919"
"Volvo: 850 Base Sedan 4-Door","510.00","1997","141,000"
"Chevrolet: Corvette BEAUTIFUL RED CONVERTIBLE. 327, 4-SPEED","38,000.00","1961","94,822"
"New listing Chevrolet: Camaro Z 28","26,655.00","1968","88,000"
"Mercedes-Benz: CL-Class 4Matic Coupe 2-Door","56,000.00","2011","3,194"
"Ford: Mustang - Utah Showroom","7,100.00","1968","0"
"Chevrolet: Corvette 2dr Stingray Convertible w/3LT","25,100.00","2016","0"
"Cadillac: CTS 2dr Coupe AWD","22,995.00","2013","25,805"
"Chevrolet: Tahoe LT Sport Utility 2-Door","7,800.00","1996","244,208"
"Chevrolet: C-10 Pickup","32,900.00","1967","0"
"New listing  Chevrolet: Camaro Z28 CONVERTIBLE ","5,700.00","1995","79,000"
"Ford: F-150 SVT Raptor Extended Cab Pickup 4-Door","37,500.00","2010","70,000"
"New listing Chevrolet: Nova L79","115,000.00","1966","5,000"
"Chevrolet: Corvette convertible","15,999.00","1999","85,000"
"Ford: Mustang Boss","25,101.00","2013","20,700"
"Chevrolet: Silverado 3500 4 Door Crew","38,000.00","2001","9,200"
"Chevrolet: Custom Deluxe 2 Door Cab 8 foot box","4,225.00","1987","145,768"
"Porsche: 911 Carrera Coupe 2-Door","20,745.00","1999","83,621"
"Ford: F-100 2 Door F-100","46,900.00","1956","63"
"Mercedes-Benz: CLK-Class COUPE 2 DOOR","16,950.00","2007","43,183"
"New listing Toyota: Tacoma extracab","7,350.00","1996","208,000"
"Chevrolet: Other","25,000.00","1951","53,865"
"Ford: F-150","1,901.00","1992","225,234"
"Toyota: Highlander 4dr","1,675.00","2012","35,730"
"Chevrolet: Other Pickups Pickup","56,900.00","1959","0"
"Ford: F-250 Lariat 4x4 Crew Cab","62,900.00","2016","4,380"
"Ford: Mustang 2013 Ford Mustang GT - Roush Stage 3 - 565HP / 505","1,000.00","2013","10,602"
"New listing Ford: F-150 2WD SuperCrew 145"" Lariat","100.00","2012","28,637"
"Bentley: S3 Deluxe 4 Door","15,100.00","1963","0"
"Mercedes-Benz: SL-Class Base Convertible 2-Door","7,600.00","2007","82,100"
"Jeep: Wagoneer Base Sport Utility 4-Door","4,049.00","1986","119,354"
"Porsche: 911 2dr Coupe Carrera 4S","89,100.00","2015","3,255"
"Chevrolet: Other Pickups 3200","5,499.00","1959","54,766"
"Chevrolet: Corvette","40,000.00","1957","599"
"Chevrolet: Corvette Base Convertible 2-Door","25,500.00","2008","13,000"
"Toyota: Land Cruiser Base Sport Utility 2-Door","2,000.00","1978","95,000"
"Chevrolet: Corvette coupe","72,000.00","1967","0"
"Ford: Mustang","4,050.00","1967","59,000"
"New listing Toyota: FJ Cruiser Base Sport Utility 4-Door","16,000.00","2007","112,512"
" Volvo: C70 Base Convertible 2-Door ","20,995.00","2011","31,232"
"Chevrolet: Corvette","67,499.00","1963","75,788"
"Chevrolet: Corvette 1LT","3,650.00","1984","45,674"
"Chevrolet: Corvette Z06 w/2LZ","40,000.00","2009","25,326"
"Subaru: Other 360 Deluxe Coupe","3,650.00","1969","21,473"
" Porsche: Cayman Base Hatchback 2-Door ","4,050.00","2015","5,560"
"Audi: A4 Cabriolet Convertible 2-Door","3,499.00","2006","99,081"
"New listing Chevrolet: Camaro","10,000.00","1987","127,000"
"Cadillac: DeVille Hardtop 2-Door","417.00","1953","83,000"
"Jaguar: XJS Base Coupe 2-Door","18,500.00","1992","63,000"
"Ford: Fusion SE Hybrid Sedan 4-Door","16,999.99","2014","18,855"
"New listing Porsche: 911 Carrera Convertible 2-Door","22,400.00","2002","102,800"
"Mercedes-Benz: CLS-Class 63AMG","49,100.00","2012","39,500"
"Volkswagen: Other","6,600.00","1958","84,254"
" Ford: F-150 XLT 4X4 ","15,995.00","2007","112,650"
"Chevrolet: Camaro Convertible","27,309.09","1967","48,000"
"New listing Chevrolet: Impala SS","20,000.00","1996","20,110"
"Toyota: Tacoma TRD Off-Road 1 Owner Carfax!!","7,000.00","2003","124,869"
"Chevrolet: Other Pickups Pickup","35,900.00","1968","9,112"
"Chevrolet: Resto Mod Wagon Custom","29,900.00","1959","999,999"
"Ford: Other Pickups","10,000.00","1977","107,000"
"Chevrolet: Blazer K5","18,000.00","1972","97,500"
"Toyota: Solara 2dr Coupe SE Automatic","6,481.00","2003","132,250"
"Ford: F-250 F-250 4X4 XLT LARIAT","2,550.00","1989","133,000"
"Mercedes-Benz: 300-Series 2dr Coupe","1,780.71","1989","195,773"
"New listing BMW: 5-Series Base Wagon 4-Door","2,500.00","2003","192,555"
"Audi: RS6 Base Sedan 4-Door","25,900.00","2003","36,900"
"Ford: Model T Farm Truck","12,500.00","1917","5,860"
"BMW: 3-Series Leather","22,995.00","2008","76,000"
"BMW: Z8 Base Convertible 2-Door","297,500.00","2003","3,191"
"Ford: Mustang","18,900.00","1968","50,000"
" Ford: Mustang Boss 302 ","77,500.00","1970","65,500"
"New listing Audi: RS5 Base Coupe 2-Door","51,000.00","2013","37,050"
"Mercedes-Benz: SL-Class Base Convertible 2-Door","16,995.00","2003","70,000"
"Chevrolet: Other Pickups Z71 EXT CAB FLTSDE 4WD","6,600.00","1994","106,000"
"BMW: M5 Base Sedan 4-Door","22,950.00","2000","82,141"
"Porsche: 911 Carrera 4S Cabriolet","82,995.00","2013","26,597"
"New listing Chevrolet: Silverado 1500 LT Crew Cab Pickup 4-Door","100.00","2012","55,000"
"New listing Ford: Mustang GT","32,700.00","2015","1,686"
"Toyota: RAV4 Base Sport Utility 4-Door","4,999.00","1999","97,484"
"Chevrolet: Corvette 2dr Stingray Coupe w/1LT","1,000.00","2016","0"
"Chevrolet: Other Pickups Pro Touring","75,000.00","1948","106"
"Ford: Mustang","2,500.00","1984","110,000"
"Ford: Mustang Mach 1","52,900.00","1970","0"
"New listing Ford: F-150 2WD SuperCrew 145"" Lariat","100.00","2012","28,637"
"Pontiac: Grand Prix Brougham Coupe 2-Door","14,990.00","1985","24,579"
"Bentley: S3 Deluxe 4 Door","15,100.00","1963","0"
"Jeep: Wagoneer Base Sport Utility 4-Door","4,049.00","1986","119,354"
" Chevrolet: Other Pickups 3100 ","25,000.00","1953","1,570"
"Chevrolet: Corvette","40,000.00","1957","599"
"Chevrolet: Corvette Base Convertible 2-Door","25,500.00","2008","13,000"
"Lexus: GS Base Sedan 4-Door","9,500.00","2004","107,542"
"Infiniti: G37 Base Convertible 2-Door","16,900.00","2009","68,063"
"Chevrolet: Corvette coupe","72,000.00","1967","0"
"Ford: Mustang Shelby GT350 Tribute","35,000.00","1968","42,939"
"Ford: Mustang","9,999.00","1966","100,000"
"Chevrolet: Corvette","67,499.00","1963","75,788"
"Chevrolet: Corvette 1LT","3,650.00","1984","45,674"
"Chevrolet: Corvette Z06 w/2LZ","40,000.00","2009","25,326"
"Chevrolet: Other Pickups","10,500.00","1969","250"
"BMW: 5-Series Base Sedan 4-Door","9,500.00","2004","86,850"
"BMW: X4 xDrive28i","56,270.00","2016","0"
"Mercedes-Benz: Other S","135,630.00","2016","4,609"
"Chevrolet: Nova 2dr sedan","3,550.01","1964","25"
" Chevrolet: C-10 Custom ","1,875.00","1972","138,000"
"Ford: F-100","20,100.00","1965","91,220"
"Audi: A4 Cabriolet Convertible 2-Door","3,499.00","2006","99,081"
"Chevrolet: Impala Super Sport","9,650.00","1965","63,500"
"Cadillac: DeVille Hardtop 2-Door","417.00","1953","83,000"
"New listing Chevrolet: Camaro 2SS Coupe RS Package","31,500.00","2015","15,950"
" Ford: F-250 Lariat Pickup Truck 4-Door Automatic 5-Speed ","20,100.00","2008","123,690"
"Ford: Sportsman Ford Sportsman","69,999.00","1947","3,600"
"Ferrari: 599 Coupe 2 door","139,999.00","2007","17,829"
"New listing Cadillac: Escalade 4WD 4dr Premium","73,999.00","2015","4,050"
"Ford: Other Deluxe","31,100.00","1936","61,543"
" Saab: 900 Turbo Convertible 2-Door ","3,495.00","1992","154,945"
"Porsche: 911 Carrera Coupe 2-Door","58,997.00","2013","37,809"
"Chevrolet: Impala IMPALA CONVERTIBLE","12,320.00","1968","81,289"
"Cadillac: CTS Base Coupe 2-Door","3,050.00","2013","25,803"
"Ferrari: 575 Base Coupe 2-Door","187,800.00","2005","14,334"
" Ford: F-150 XLT 4X4 ","15,995.00","2007","112,650"
"Audi: A5 Base Coupe 2-Door","20,999.00","2009","49,725"
"New listing Chevrolet: Other 4400","1,000.00","1955","89,645"
"Ford: Mustang ROUSH STAGE 3 575 HORSEPOWER","25,000.00","2014","6,763"
"BMW: 5-Series 4 Door Sedan","510.00","2002","200,511"
" Ford: Other Pickups Ford F1 ","46,000.00","1949","300"
"Toyota: FJ Cruiser Base Sport Utility 4-Door","18,999.99","2007","99,300"
"Chevrolet: C-10 SILVERADO","7,400.00","1987","134,375"
"Mercedes-Benz: C-Class AMG 4dr Sedan","7,900.00","1996","147,935"
"Mercedes-Benz: S-Class S500","34,900.00","2001","39,850"
"Ford: Coupe Street Rod","44,100.00","1937","1,766"
"Chevrolet: Corvette 2dr Stingray Coupe w/1LT","1,000.00","2016","0"
"Ford: Mustang","10,000.00","1989","27,783"
"Mercedes-Benz: E-Class Base Coupe 2-Door","31,850.00","2013","38,535"
"Ford: Other Wagon","500.00","1954","175,000"
"New listing Ford: Mustang","2,000.00","2000","130,000"
"Chevrolet: Other Pickups 3100","35,000.00","1948","800"
"Mitsubishi: Lancer Evolution Sedan 4-Door","12,600.00","2003","57,780"
"Jaguar: XJS Base Convertible 2-Door","14,000.00","1992","36,000"
"Chevrolet: Corvette","3,500.00","1971","35,000"
"Chevrolet: Other Pickups 1/2 ton","7,500.00","1978","247,352"
"Chevrolet: Corvette Z51 3LT","57,950.00","2014","10,045"
"Ford: F-150 XLT","25,000.04","2015","10"
"New listing Ford: F-350 Crew Cab 2WD","2,000.00","1988","176,000"
"Chevrolet: Camaro 2dr Coupe SS w/2SS","1,000.00","2016","0"
"Chevrolet: Other Base","40,000.00","2014","10,711"
"Dodge: Other Pickups Mid-level","1,900.00","1984","141,255"
"Ford: F-150 SUPERCREW 4X2 STYL","26,998.00","2013","25,362"
" Chevrolet: Corvette Corvette Grand Sport 4LT Convertible ","43,999.00","2010","12,770"
"Ford: Mustang RARE, COLLECTABLE,","7,000.00","1988","93,367"
"Subaru: WRX 4 Door Sedan","21,999.00","2011","91,000"
"Chevrolet: Corvette 2LT","108.50","2015","1,882"
"Chevrolet: Corvette conv","25,100.00","1971","35,000"
"Ford: F-150 Stepside","13,500.00","1979","117,250"
"BMW: M3 Base Coupe 2-Door","46,000.00","2008","7,338"
"Toyota: 4Runner SR5","1,550.00","1999","189,655"
"Toyota: Avalon XLS Sedan 4-Door","9,500.00","2004","38,550"
"Ford: F-100 1955 Ford F100 All Original Metal","4,550.00","1955","0"
"Ford: F-100","10,000.00","1956","74,000"
"Chevrolet: Corvette STINGRAY","39,000.00","1965","45,217"
"Chevrolet: Corvette LT4","19,500.00","1996","67,000"
"New listing Chevrolet: Corvette Stingray","34,900.00","1969","9,951"
"Chevrolet: Corvette","12,100.00","1971","93,696"
"Mercedes-Benz: SL-Class Base Convertible 2-Door","21,600.00","2005","87,840"
"Chevrolet: C-10","1,500.00","1968","1"
" Chevrolet: Corvette 427 1SC ","15,264.25","2013","5,277"
"Jeep: Wrangler Unlimited Rubicon Sport Utility 4-Door","47,400.00","2014","13,500"
"Mercedes-Benz: G-Class Base Sport Utility 4-Door","28,000.00","2002","101,113"
"BMW: 5-Series Base Sedan 4-Door","30,900.00","2015"," "
"Chevrolet: Corvette Z16 Grand Sport 2LT","30,000.00","2010","71,483"
"Chevrolet: Camaro 2dr Coupe SS w/2SS","1,000.00","2016","0"
" Ford: F-150 LARIAT CREW ","12,495.00","2004","134,500"
"Chevrolet: Corvette ZR1","65,888.00","2011","21,047"
"Chevrolet: Camaro SS","30,000.00","1969","2,993"
"Ferrari: 599 2dr Coupe","169,800.00","2009","9,676"
"Chevrolet: Nova Chevy 2","8,100.00","1967","67"
"Nissan: 350Z 2dr Coupe","12,900.00","2003","71,376"
"Ford: Mustang GT","15,995.00","1993","29,889"
"Ford: Mustang CONVERTIBLE","21,999.00","1965","137,879"
"BMW: i8 2dr Coupe","119,800.00","2015","370"
"Ford: Flex SE Sport Utility 4-Door","13,500.00","2010","71,047"
